City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Leningradskiy,69.38,178.42,22.05,97,95,2.64,RU,1606087511
Necochea,-38.55,-58.74,69.01,65,86,12.84,AR,1606087512
Jalu,29.03,21.55,61.25,42,91,11.5,LY,1606087514
Souillac,-20.52,57.52,73.4,83,40,8.05,MU,1606087515
Sadove,46.25,30.18,32.0,77,0,6.71,UA,1606087516
Vaini,-21.2,-175.2,80.6,69,75,6.93,TO,1606087519
Camacha,33.08,-16.33,64.4,77,20,3.36,PT,1606087520
New Norfolk,-42.78,147.06,64.0,57,0,1.99,AU,1606087522
Qaanaaq,77.48,-69.36,0.25,77,26,6.73,GL,1606087523
Tura,25.52,90.22,57.54,53,0,4.21,IN,1606087524
Auki,-8.77,160.7,86.63,61,15,1.74,SB,1606087526
Mahébourg,-20.41,57.7,73.4,83,40,8.05,MU,1606087527
Saint-François,46.42,3.91,32.0,100,0,3.36,FR,1606087528
College,64.86,-147.8,12.0,85,100,2.15,US,1606087232
Caxito,-8.58,13.66,78.8,83,75,5.82,AO,1606087531
Ostrovnoy,68.05,39.51,35.8,85,100,21.7,RU,1606087532
Balabac,7.99,117.06,81.97,78,95,15.14,PH,1606087534
Mailsi,29.8,72.18,54.82,38,0,5.97,PK,1606087535
Palmer,42.16,-72.33,43.0,75,90,5.82,US,1606087536
Matadi,-5.82,13.45,75.88,90,100,4.38,CD,1606087270
Guerrero Negro,27.98,-114.06,73.33,53,61,13.22,MX,1606087539
Aksarka,66.56,67.8,15.08,96,99,14.56,RU,1606087540
Khandyga,62.67,135.6,-20.15,84,62,2.15,RU,1606087541
Kulhudhuffushi,6.62,73.07,81.91,72,99,11.56,MV,1606087542
Ribeira Grande,38.52,-28.7,62.56,77,9,10.54,PT,1606087544
Bambous Virieux,-20.34,57.76,73.4,83,40,8.05,MU,1606087545
São Gabriel da Cachoeira,-0.13,-67.09,76.66,91,90,0.56,BR,1606087536
Avarua,-21.21,-159.78,78.8,78,100,9.17,CK,1606087548
‘Āhuimanu,21.44,-157.84,82.4,65,75,13.87,US,1606087549
Ilulissat,69.22,-51.1,15.8,56,100,8.05,GL,1606087550
Hithadhoo,-0.6,73.08,82.38,73,92,6.53,MV,1606087553
Dikson,73.51,80.55,14.5,95,34,11.97,RU,1606087554
Roseto degli Abruzzi,42.67,14.02,39.2,86,0,5.82,IT,1606087555
Cotonou,6.37,2.42,82.4,83,40,12.75,BJ,1606087557
Otjiwarongo,-20.46,16.65,69.8,26,5,6.35,NA,1606087558
Buşayrā,30.74,35.61,49.46,81,1,2.73,JO,1606087559
Nishihara,26.18,127.76,75.2,88,75,6.93,JP,1606087561
Isabela,6.71,121.97,78.8,88,75,3.36,PH,1606087562
Vanimo,-2.67,141.3,82.47,79,81,0.78,PG,1606087563
Beringovskiy,63.05,179.32,27.79,98,99,2.71,RU,1606087564
Dunedin,-45.87,170.5,55.0,65,40,8.01,NZ,1606087366
Pangnirtung,66.15,-65.71,-2.96,74,7,7.36,CA,1606087567
Hong Kong,22.29,114.16,73.99,86,54,4.0,HK,1606087520
Gijang,35.24,129.21,42.8,48,0,9.17,KR,1606087570
St. George's,12.06,-61.75,80.6,78,20,17.22,GD,1606087572
Muisne,0.6,-80.03,73.92,81,33,5.7,EC,1606087573
Hay River,60.82,-115.8,6.8,77,100,5.82,CA,1606087575
Yoichi,43.2,140.77,32.0,87,75,3.36,JP,1606087576
Vardø,70.37,31.11,32.0,84,75,6.93,NO,1606087577
Itamaracá,-7.75,-34.83,78.8,61,20,6.93,BR,1606087578
Mar del Plata,-38.0,-57.56,75.2,53,0,11.41,AR,1606087580
Lavrentiya,65.58,-171.0,32.02,98,100,6.38,RU,1606087581
Lenger,42.18,69.88,19.4,85,75,2.24,KZ,1606087582
Puerto Ayora,-0.74,-90.35,72.0,82,67,5.01,EC,1606087411
Codrington,-38.27,141.97,60.37,81,92,15.23,AU,1606087585
Okhotsk,59.38,143.3,0.97,88,93,17.43,RU,1606087586
Bandarbeyla,9.49,50.81,77.52,72,100,18.16,SO,1606087589
Mogadishu,2.04,45.34,79.27,80,100,10.33,SO,1606087536
Coyhaique,-45.58,-72.07,53.6,58,75,4.7,CL,1606087591
Te Anau,-45.42,167.72,54.63,50,99,2.68,NZ,1606087594
The Hammocks,25.67,-80.44,75.99,100,40,5.82,US,1606087595
Harper,4.38,-7.72,78.24,88,97,7.78,LR,1606087596
Todos Santos,23.45,-110.22,87.01,38,0,3.0,MX,1606087598
Batemans Bay,-35.72,150.18,71.01,86,100,3.0,AU,1606087599
Mountain Home,43.13,-115.69,42.8,45,1,10.29,US,1606087600
Posse,-14.09,-46.37,70.95,87,42,7.02,BR,1606087602
Rome,43.21,-75.46,37.4,74,90,16.11,US,1606087603
Quatre Cocos,-20.21,57.76,73.4,83,40,8.05,MU,1606087604
Chingirlau,51.09,54.08,20.64,90,100,6.73,KZ,1606087605
Praia da Vitória,38.73,-27.07,62.6,82,40,9.48,PT,1606087607
Vostok,46.49,135.88,-0.15,93,17,5.95,RU,1606087608
Katobu,-4.94,122.53,78.91,85,85,0.58,ID,1606087609
Sherbakul',54.63,72.4,5.0,77,92,4.47,RU,1606087611
Arraial do Cabo,-22.97,-42.03,73.02,77,85,15.37,BR,1606087612
Clyde River,70.47,-68.59,5.0,92,90,32.21,CA,1606087613
Gazli,40.13,63.45,17.96,87,34,8.99,UZ,1606087615
Ossora,59.24,163.07,17.62,88,1,5.32,RU,1606087616
Bosaso,11.28,49.18,73.9,82,100,5.01,SO,1606087619
Konya Province,38.17,32.5,33.8,74,0,4.7,TR,1606087472
Yaan,7.38,8.57,79.2,40,100,3.69,NG,1606087622
Namatanai,-3.67,152.43,84.22,60,33,5.73,PG,1606087623
Alofi,-19.06,-169.92,78.8,88,90,3.36,NU,1606087624
Narsaq,60.92,-46.05,21.2,73,100,2.24,GL,1606087626
Bagotville,-28.98,153.42,84.99,54,0,3.36,AU,1606087627
San Cristobal,7.77,-72.22,82.4,74,40,4.7,VE,1606087628
Shenjiamen,29.96,122.3,57.7,78,100,17.49,CN,1606087629
Bom Jesus,-9.07,-44.36,74.52,89,100,4.72,BR,1606087631
Rawson,-43.3,-65.1,71.31,34,0,18.21,AR,1606087632
Haicheng,40.85,122.75,22.39,80,0,3.49,CN,1606087633
Béboto,8.27,16.94,74.64,38,98,1.74,TD,1606087635
Paracuru,-3.41,-39.03,81.0,75,11,21.0,BR,1606087636
Derzhavīnsk,51.1,66.32,13.1,92,89,5.77,KZ,1606087637
Portobelo,9.55,-79.65,81.0,85,14,3.0,PA,1606087639
Cooma,-36.23,149.13,60.8,82,90,13.87,AU,1606087642
Klyuchi,52.27,79.17,18.73,96,100,5.21,RU,1606087643
Klaksvík,62.23,-6.59,37.4,93,2,9.17,FO,1606087644
Sinnamary,5.38,-52.95,76.86,90,100,9.55,GF,1606087646
Lata,40.16,-8.33,48.99,86,0,2.13,PT,1606087647
Cabo San Lucas,22.89,-109.91,84.99,54,5,8.05,MX,1606087375
Jamestown,42.1,-79.24,45.0,87,90,11.41,US,1606087596
Deputatsky,69.3,139.9,-7.94,86,100,3.31,RU,1606087651
Katsuura,35.13,140.3,62.6,48,20,21.92,JP,1606087653
Mount Isa,-20.73,139.5,93.2,21,99,12.75,AU,1606087655
Alugan,12.22,125.48,78.35,89,100,20.78,PH,1606087656
Saint George,37.1,-113.58,66.99,20,1,4.7,US,1606087657
Santa Cruz del Sur,20.71,-78.0,78.28,84,85,6.22,CU,1606087658
Sobolevo,54.43,31.9,34.32,98,100,13.67,RU,1606087660
Northam,51.03,-4.22,46.99,95,59,1.01,GB,1606087661
Nome,64.5,-165.41,30.2,92,90,10.29,US,1606087662
Salinópolis,-0.61,-47.36,81.21,79,9,10.69,BR,1606087663
Muros,42.78,-9.06,55.99,93,0,4.79,ES,1606087666
Norman Wells,65.28,-126.83,12.2,72,75,10.29,CA,1606087667
Poum,-20.23,164.02,76.66,68,0,9.42,NC,1606087669
Colombo,6.93,79.85,75.2,83,40,2.24,LK,1606087518
Abu Dhabi,24.47,54.37,73.4,60,0,4.7,AE,1606087555
Asău,46.43,26.4,30.2,92,0,2.24,RO,1606087672
Faanui,-16.48,-151.75,81.12,73,61,10.4,PF,1606087675
Lebu,-37.62,-73.65,57.11,83,3,6.98,CL,1606087677
Inta,66.03,60.17,17.11,93,98,10.89,RU,1606087679
Chicama,-7.84,-79.15,67.48,70,2,6.89,PE,1606087680
Turkmenabat,39.07,63.58,15.8,72,0,4.7,TM,1606087681
Odienné,9.51,-7.57,74.95,41,57,3.11,CI,1606087683
Houma,29.6,-90.72,73.0,64,1,5.82,US,1606087684
Santa Cruz de la Sierra,-17.8,-63.17,91.4,38,20,5.82,BO,1606087645
Batagay,67.63,134.63,-24.5,82,0,0.87,RU,1606087686
Longyearbyen,78.22,15.64,17.6,78,40,8.05,SJ,1606087688
Kebumen,-7.67,109.65,64.99,82,100,1.36,ID,1606087689
Haines Junction,60.75,-137.51,-4.0,70,100,1.54,CA,1606087690
Orán,-23.13,-64.33,91.0,41,75,2.37,AR,1606087691
Nanortalik,60.14,-45.24,31.23,93,100,15.1,GL,1606087693
Boyolangu,-8.12,111.89,78.1,82,99,1.52,ID,1606087694
Huruta,8.15,39.35,53.83,41,54,6.49,ET,1606087695
Kiryat Gat,31.61,34.76,62.01,100,0,1.01,IL,1606087697
Gigmoto,13.78,124.39,79.74,79,90,17.98,PH,1606087698
Hamilton,39.18,-84.53,42.01,86,90,13.87,US,1606087701
Santa Cruz del Norte,23.15,-81.92,77.0,100,20,4.7,CU,1606087702
Chibombo,-14.66,28.07,67.69,84,98,1.79,ZM,1606087703
Kapuskasing,49.42,-82.43,32.0,95,99,6.93,CA,1606087704
Cherskiy,68.75,161.3,5.43,94,100,6.53,RU,1606087706
Portland,45.52,-122.68,44.6,81,90,6.93,US,1606087501
Tortolì,39.93,9.66,51.8,66,5,12.75,IT,1606087708
Esperance,-33.87,121.9,60.8,77,57,17.22,AU,1606087709
Pangkalanbuun,-2.68,111.62,73.45,96,61,2.42,ID,1606087711
Liverpool,53.41,-2.98,43.0,86,45,3.36,GB,1606087573
Bubaque,11.28,-15.83,82.69,77,75,14.32,GW,1606087713
Yakeshi,49.28,120.73,8.29,95,99,11.52,CN,1606087715
Charter Township of Clinton,42.59,-82.92,35.01,100,90,10.29,US,1606087716
Arbazh,57.68,48.31,22.48,94,98,13.06,RU,1606087717
Kigoma,-4.88,29.63,73.62,79,2,3.44,TZ,1606087718
Selma,36.57,-119.61,64.4,52,1,3.6,US,1606087720
Brno,49.2,16.61,36.0,80,0,2.24,CZ,1606087472
Burnie,-41.07,145.92,63.79,69,89,1.81,AU,1606087722
Tinskoy,56.15,96.92,21.16,96,89,7.65,RU,1606087724
Caucayá,-0.19,-74.78,76.5,94,83,2.53,CO,1606087725
Fernie,49.5,-115.07,39.2,92,93,4.7,CA,1606087726
Yulara,-25.24,130.99,78.8,39,100,13.87,AU,1606087727
Tripoli,32.88,13.19,58.55,80,98,7.49,LY,1606087729
Hofn,64.25,-15.21,32.56,94,100,8.99,IS,1606087730
Gizo Government Station,-8.1,156.84,84.6,69,44,6.53,SB,1606087731
Peru,40.75,-86.07,39.2,100,90,6.93,US,1606087533
Mount Gambier,-37.83,140.77,60.8,82,75,18.34,AU,1606087734
Touros,-5.2,-35.46,78.8,78,40,5.82,BR,1606087735
Abu Kamal,34.45,40.92,57.85,59,64,8.52,SY,1606087736
Taicheng,38.73,113.23,21.7,70,42,2.51,CN,1606087738
Tuy Hoa,13.08,109.3,74.93,88,72,6.24,VN,1606087739
Fengzhen,40.44,113.15,12.65,81,0,1.39,CN,1606087740
São Filipe,14.9,-24.5,77.5,73,26,4.99,CV,1606087741
Jiancheng,30.39,104.55,46.99,81,75,2.24,CN,1606087743
Pevek,69.7,170.31,18.36,95,95,1.21,RU,1606087744
Sánchez,19.23,-69.61,77.0,88,40,6.33,DO,1606087745
Mlowo,-9.0,32.98,66.22,71,69,2.1,TZ,1606087747
Port Elizabeth,-33.92,25.57,60.8,100,90,4.16,ZA,1606087748
Seymchan,62.88,152.43,0.01,91,100,4.18,RU,1606087749
Serabu,7.8,-12.05,74.26,93,42,2.04,SL,1606087750
Bukama,-9.2,25.85,71.46,92,75,1.05,CD,1606087581
Tual,-5.67,132.75,84.02,71,96,6.51,ID,1606087753
Anan,33.92,134.65,59.0,72,40,17.22,JP,1606087754
Neuquén,-38.95,-68.06,82.4,34,0,4.7,AR,1606087528
Rāghogarh,24.45,77.2,54.19,41,0,7.27,IN,1606087757
Leirvik,59.78,5.5,44.01,96,100,1.01,NO,1606087699
Kruisfontein,-34.0,24.73,61.0,95,99,1.01,ZA,1606087759
Paciran,-6.88,112.38,79.79,79,100,5.82,ID,1606087761
Severo-Yeniseyskiy,60.37,93.04,13.42,97,98,6.35,RU,1606087763
Xianyang,34.34,108.7,35.01,94,90,8.95,CN,1606087765
Dolores,-36.31,-57.68,67.05,59,0,12.68,AR,1606087766
Chumphon,10.33,98.83,75.2,94,20,0.47,TH,1606087767
Grindavik,63.84,-22.43,32.0,80,75,11.41,IS,1606087768
Sudak,44.85,34.97,38.8,70,0,3.8,UA,1606087770
Bambanglipuro,-7.95,110.28,78.89,81,98,2.21,ID,1606087771
Hudson Bay,52.85,-102.38,3.99,93,30,3.11,CA,1606087772
Kawalu,-7.38,108.21,73.09,83,99,1.39,ID,1606087774
Mangan,27.52,88.53,52.59,37,1,4.5,IN,1606087776
Ust-Nera,64.57,143.2,-19.35,78,91,2.89,RU,1606087779
Vila Velha,-20.33,-40.29,75.2,83,75,4.7,BR,1606087653
Karakol,42.49,78.39,21.34,80,96,2.66,KG,1606087781
Río Gallegos,-51.62,-69.22,59.0,38,40,17.22,AR,1606087593
Umeå,63.83,20.26,35.6,93,70,8.05,SE,1606087784
Ipojuca,-8.4,-35.06,78.8,61,20,6.93,BR,1606087647
Marzuq,14.4,46.47,63.03,38,24,3.15,YE,1606087786
San Marcos,33.14,-117.17,66.99,77,20,5.82,US,1606087618
Hays,30.05,-98.03,72.0,59,74,14.14,US,1606087789
Vao,-22.67,167.48,71.96,79,17,17.78,NC,1606087790
Kumul,42.8,93.45,16.59,72,80,1.66,CN,1606087792
Suratgarh,29.32,73.9,58.53,33,0,7.65,IN,1606087793
Aknīste,56.16,25.75,41.5,81,87,12.15,LV,1606087794
Sistranda,63.73,8.83,41.0,86,75,35.57,NO,1606087796
Turaif,31.67,38.66,50.0,81,0,0.98,SA,1606087797
Torbay,47.67,-52.73,28.0,68,75,5.82,CA,1606087798
Kiama,-34.68,150.87,75.99,85,100,1.66,AU,1606087799
Anito,12.45,125.29,78.06,86,100,14.09,PH,1606087801
Puerto del Rosario,28.5,-13.86,66.2,88,0,5.82,ES,1606087803
Hambantota,6.12,81.12,76.3,87,100,7.31,LK,1606087805
Naryan-Mar,67.67,53.09,25.72,97,100,22.41,RU,1606087807
Bengkulu,-3.8,102.27,74.34,96,100,4.14,ID,1606087808
Anuradhapura,8.36,80.42,73.81,93,100,2.64,LK,1606087810
Khilok,51.37,110.47,20.14,93,99,10.07,RU,1606087811
Robertsport,6.75,-11.37,79.68,81,94,7.23,LR,1606087813
Santa Rosa,14.31,121.11,81.0,74,20,2.24,PH,1606087814
Linqing,36.85,115.71,33.33,83,24,2.39,CN,1606087817
Ljubinje,42.95,18.09,51.8,86,0,3.36,BA,1606087811
Vanavara,60.34,102.28,18.43,97,100,9.46,RU,1606087820
Dourbali,11.81,15.86,76.68,28,36,8.05,TD,1606087822
Lüderitz,-26.65,15.16,59.0,87,2,10.29,NA,1606087823
Salalah,17.02,54.09,80.6,69,0,2.24,OM,1606087825
Itarema,-2.92,-39.92,80.51,71,22,15.3,BR,1606087826
Nioro,13.35,-15.75,75.58,60,29,6.22,GM,1606087828
Tokur,53.13,132.9,-1.48,92,100,2.95,RU,1606087830
Hauterive,46.09,3.45,30.2,74,0,3.36,FR,1606087832
Kavieng,-2.57,150.8,84.51,66,70,10.04,PG,1606087833
Belmonte,-15.86,-38.88,73.4,88,75,3.36,BR,1606087834
Pemba,-12.97,40.52,77.0,94,20,3.36,MZ,1606087836
Kathmandu,27.72,85.32,44.6,100,20,3.36,NP,1606087838
Bathsheba,13.22,-59.52,80.6,74,40,17.22,BB,1606087840
Nānākuli,21.39,-158.15,84.2,54,75,11.41,US,1606087841
Strezhevoy,60.73,77.59,19.4,92,90,6.71,RU,1606087842
Kikwit,-5.04,18.82,71.65,93,91,1.77,CD,1606087844
Oxford,51.75,-1.26,33.8,100,0,4.7,GB,1606087846
Omsukchan,62.53,155.8,-5.51,88,100,3.91,RU,1606087848
Nauta,-4.51,-73.58,79.65,78,87,1.12,PE,1606087850
Thalheim,50.7,12.85,43.0,88,100,8.12,DE,1606087851
Miranda,3.25,-76.23,78.8,61,40,9.17,CO,1606087853
Hergla,36.03,10.51,62.6,63,40,2.24,TN,1606087854
Thinadhoo,0.53,72.93,82.44,71,97,5.19,MV,1606087855
Tam Ky,15.57,108.48,75.2,94,40,1.12,VN,1606087857
Shimanovsk,52.0,127.7,13.12,95,100,5.59,RU,1606087858
Soc Trang,9.6,105.98,77.0,100,20,1.12,VN,1606087726
Kaniama,-7.57,24.18,66.79,94,78,1.45,CD,1606087861
Flinders,-34.58,150.86,75.99,82,100,4.0,AU,1606087862
Katangli,51.71,143.23,15.51,85,0,15.32,RU,1606087863
Lagoa,39.05,-27.98,62.06,76,35,10.36,PT,1606087865
Severnyy,50.68,36.55,26.6,92,90,11.18,RU,1606087866
Isangel,-19.55,169.27,84.2,66,40,5.82,VU,1606087867
Banda Aceh,5.56,95.32,77.9,72,76,3.38,ID,1606087869
Pierre,44.37,-100.35,41.0,38,1,2.13,US,1606087735
Mpanda,-6.37,31.04,66.6,88,24,1.41,TZ,1606087872
Beatrice,40.27,-96.75,45.0,45,1,8.05,US,1606087873
Ormara,25.21,64.64,69.46,63,0,4.74,PK,1606087874
Cidreira,-30.18,-50.21,66.02,69,2,12.35,BR,1606087853
Imeni Poliny Osipenko,52.42,136.49,2.43,88,2,5.39,RU,1606087877
Yovon,38.31,69.04,33.8,89,90,2.24,TJ,1606087878
Assiut,27.18,31.18,59.0,47,0,10.29,EG,1606087879
Krasnosel'kup,65.7,82.47,5.43,93,28,7.87,RU,1606087882
Whyalla,-33.03,137.58,64.4,82,90,19.46,AU,1606087883
Ninghai,29.29,121.42,55.99,98,98,1.01,CN,1606087885
Muzhi,65.37,64.67,15.85,94,20,13.06,RU,1606087886
Nanpiao,41.1,120.75,23.52,81,0,3.49,CN,1606087887
Port Macquarie,-31.43,152.92,87.8,40,51,8.05,AU,1606087814
Saint-Augustin,51.23,-58.65,19.31,90,0,6.78,CA,1606087868
Kamaishi,39.27,141.88,44.6,65,75,11.41,JP,1606087891
Maragogi,-9.01,-35.22,76.39,80,20,9.01,BR,1606087893
Pringsewu,-5.36,104.97,76.26,88,94,1.45,ID,1606087894
Sikasso,10.92,-7.0,74.23,31,69,2.06,ML,1606087895
Provideniya,64.38,-173.3,32.0,96,90,4.47,RU,1606087897
Avera,33.19,-82.53,66.2,72,90,3.02,US,1606087898
Ampanihy,-24.7,44.75,70.66,81,67,3.51,MG,1606087899
Mangochi,-14.48,35.26,78.06,55,4,0.02,MW,1606087901
Dandong,40.13,124.39,26.24,76,0,6.33,CN,1606087902
Weyburn,49.67,-103.85,21.2,85,26,11.41,CA,1606087903
Gamba,-2.65,10.0,76.17,92,100,5.82,GA,1606087905
Luganville,-15.53,167.17,82.4,78,40,5.82,VU,1606087812
Bethel,41.37,-73.41,45.0,70,90,4.7,US,1606087907
Houndé,11.5,-3.52,73.26,21,33,2.64,BF,1606087734
Juneau,58.3,-134.42,35.01,100,90,3.36,US,1606087910
Najrān,17.49,44.13,57.2,47,0,1.74,SA,1606087911
Maningrida,-12.07,134.27,90.3,49,52,5.44,AU,1606087913
Roald,62.58,6.13,42.8,67,100,16.11,NO,1606087914
Shumikha,55.23,63.3,15.85,94,98,6.06,RU,1606087915
Nizwá,22.93,57.53,60.96,64,0,1.41,OM,1606087917
Marystown,47.17,-55.15,32.0,100,0,3.74,CA,1606087918
Birjand,32.87,59.22,42.8,81,90,6.93,IR,1606087921
Nchelenge,-9.35,28.73,71.35,80,53,1.92,ZM,1606087922
Ambon City,-3.7,128.18,80.6,83,40,4.7,ID,1606087924
Casablanca,33.59,-7.62,62.01,100,0,2.24,MA,1606087925
Port Augusta,-32.5,137.77,69.01,82,90,19.46,AU,1606087926
Hasaki,35.73,140.83,57.2,71,20,13.87,JP,1606087928
Kanlagay,5.88,121.29,83.39,72,28,1.5,PH,1606087929
Macaé,-22.37,-41.79,77.0,69,90,8.05,BR,1606087930
Bintulu,3.17,113.03,77.0,100,20,5.82,MY,1606087933
Methóni,36.82,21.7,57.99,54,26,6.93,GR,1606087934
Lorengau,-2.02,147.27,84.9,68,100,8.88,PG,1606087666
Mongua,5.75,-72.8,48.0,96,73,2.39,CO,1606087938
Kaitangata,-46.28,169.85,54.0,67,24,8.01,NZ,1606087939
